Conversation id: Ses05F_impro05
Num utterances: 91
Temporal loss (model): 2.019625753746368e-05

Per-utterance predictions and diagnostics:
----------------------------------------------------------------------------------------------------------------------------------------------
Idx | Utterance (truncated)                                        | True       | Pred       | MemNorm  | Mem[0:6]
 73 | And you have no guarantee.                                   | Frustrated | Sad        | 13.6015  | 6.000,2.000,3.000,2.000,1.000,1.000
 74 | I have no guarantee, absolutely not.                         | Frustrated | Frustrated | 16.1864  | 3.000,4.000,2.000,4.000,2.000,2.000
 75 | This is ridiculous.                                          | Frustrated | Frustrated | 17.7764  | 1.000,5.000,0.000,3.000,2.000,5.000
 76 | How can I guarantee finding your luggage when it's lost?     | Frustrated | Frustrated | 17.0000  | 1.000,2.000,7.000,0.000,7.000,4.000
 77 | Uh- Because you guys lost it, so it should be your respon... | Frustrated | Frustrated | 18.5203  | 6.000,5.000,5.000,5.000,5.000,4.000
 78 | Right, well, when you're at home and you lose something, ... | Frustrated | Sad        | 15.7797  | 0.000,2.000,0.000,4.000,4.000,5.000
 79 | Oh, come on.  Would you cut it out?  This is ridiculous.     | Frustrated | Frustrated | 17.2916  | 5.000,1.000,4.000,6.000,6.000,1.000
 80 | Well, it sounds to me like you're being ridiculous           | Frustrated | Frustrated | 16.3401  | 2.000,1.000,4.000,5.000,7.000,7.000
 81 | No, I don't think I am.  I like have a whole bunch of stu... | Angry      | Frustrated | 17.6635  | 5.000,4.000,6.000,0.000,4.000,4.000
 82 | Right.                                                       | Sad        | Sad        | 15.6205  | 0.000,3.000,7.000,0.000,5.000,0.000
 83 | It's not like I can go to Kmart and buy another.             | Angry      | Frustrated | 16.5227  | 6.000,7.000,0.000,2.000,1.000,4.000
 84 | I understand that, ma'am, but things get lost.  There's n... | Frustrated | Frustrated | 17.3205  | 5.000,2.000,2.000,1.000,1.000,3.000
 85 | And while I really would love to be able to hand you your... | Sad        | Frustrated | 14.4914  | 1.000,4.000,3.000,7.000,5.000,0.000
 86 | So you'd like the fifty dollar voucher?                      | Sad        | Sad        | 15.4919  | 1.000,0.000,0.000,4.000,3.000,1.000
 87 | Yeah, I'll take your fifty dollar voucher.                   | Frustrated | Sad        | 17.2627  | 7.000,3.000,1.000,5.000,1.000,6.000
 88 | Okay, just fill out these three forms, and um- you'll- we... | Sad        | Frustrated | 14.8661  | 2.000,3.000,0.000,3.000,0.000,2.000
 89 | Thanks.                                                      | Frustrated | Sad        | 20.5183  | 7.000,7.000,1.000,1.000,5.000,4.000
 90 | You have a wonderful day.                                    | Sad        | Sad        | 13.1529  | 5.000,2.000,0.000,3.000,1.000,1.000
----------------------------------------------------------------------------------------------------------------------------------------------
